1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID,(I) INCUMBENT INDICATOR,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (GA),GE RUNOFF ELECTION % (GA),COMBINED GE PARTY TOTALS (when applicable),COMBINED GE PARTY % (when applicable),PE WINNER INDICATOR,GE WINNER INDICATOR,FOOTNOTES,1ST ROUND RCV VOTES,1ST ROUND RCV %,2ND ROUND RCV VOTES,2ND ROUND RCV %,3RD ROUND RCV VOTES,3RD ROUND RCV %,,,,,,
27,AK,Alaska,S,S2AK00168,,Sean M.,Thorne,"Thorne, Sean M.",,LIB,"1,399",0.73%,,,,,,,,,,,Top 4 Primary System.,,,,,,,,,,,,
28,AK,Alaska,S,S2AK00218,,Shoshana,Gungurstein,"Gungurstein, Shoshana",,N,853,0.45%,,,,,,,,,,,Top 4 Primary System.,,,,,,,,,,,,
29,AK,Alaska,S,S2AK00176,,Joe T.,Stephens,"Stephens, Joe T.",,AKI,805,0.42%,,,,,,,,,,,Top 4 Primary System.,,,,,,,,,,,,
30,AK,Alaska,S,S2AK00267,,John,Scheiss,"Scheiss, John",,R,734,0.39%,,,,,,,,,,,Top 4 Primary System.,,,,,,,,,,,,
31,AK,Alaska,S,S2AK00143,,Dustin T. ,Darden,"Darden, Dustin T. ",,AKI,649,0.34%,,,,,,,,,,,Top 4 Primary System.,,,,,,,,,,,,
32,AK,Alaska,S,S2AK00275,,Kendall L.,Shorkey,"Shorkey, Kendall L.",,R,627,0.33%,,,,,,,,,,,Top 4 Primary System.,,,,,,,,,,,,
33,AK,Alaska,S,S2AK00119,,Karl W.,Speights,"Speights, Karl W.",,R,613,0.32%,,,,,,,,,,,Top 4 Primary System.,,,,,,,,,,,,
34,AK,Alaska,S,S2AK00283,,Jeremy,Keller,"Keller, Jeremy",,N,405,0.21%,,,,,,,,,,,Top 4 Primary System.,,,,,,,,,,,,
35,AK,Alaska,S,S0AK00162,,"Sidney ""Sid""",Hill,"Hill, Sidney ""Sid""",,N,274,0.14%,,,,,,,,,,,Top 4 Primary System.,,,,,,,,,,,,
36,AK,Alaska,S,S2AK00135,,Huhnkie ,Lee,"Lee, Huhnkie ",,UND,238,0.12%,,,,,,,,,,,Top 4 Primary System.,,,,,,,,,,,,
37,AK,Alaska,S,S2AK00291,,Dave H. ,Darden,"Darden, Dave H. ",,UND,198,0.10%,,,,,,,,,,,Top 4 Primary System.,,,,,,,,,,,,
38,AK,Alaska,S,n/a,,,,,Total State Votes:,,"190,458",,,,"261,705",,,,,,,,"*  Alaska utilized a Ranked Choice Voting (RCV) method for the general election and a ""Top 4"" method for the primary election.  In Alaska's ""Top 4"" primary election method, the top four vote-getters in the primary election advance to the general election regardless of party affiliation.  For the general election, the votes shown in the general election column are the official 1st Choice General Vote Summary Results. Ranked Choice Voting (RCV) rounds are shown in columns Y through AD.","263,027",,"260,203",,"253,864",,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,AZ,Arizona,S,S0AZ00350,(I),Mark,Kelly,"Kelly, Mark",,D,"589,400",100.00%,,,"1,322,027",51.39%,,,,,W,W,,,,,,,,,,,,,
41,AZ,Arizona,S,n/a,,,,,Party Votes:,D,"589,400",,,,,,,,,,,,,,,,,,,,,,,,
42,AZ,Arizona,S,S2AZ00372,,Blake ,Masters,"Masters, Blake ",,R,"327,198",40.24%,,,"1,196,308",46.51%,,,,,W,,,,,,,,,,,,,,
43,AZ,Arizona,S,S2AZ00331,,Jim,Lamon,"Lamon, Jim",,R,"228,467",28.10%,,,,,,,,,,,,,,,,,,,,,,,
44,AZ,Arizona,S,S2AZ00356,,Mark,Brnovich,"Brnovich, Mark",,R,"144,092",17.72%,,,,,,,,,,,,,,,,,,,,,,,
45,AZ,Arizona,S,S2AZ00349,,"Michael ""Mick""",McGuire,"McGuire, Michael ""Mick""",,R,"71,100",8.74%,,,,,,,,,,,,,,,,,,,,,,,
46,AZ,Arizona,S,S2AZ00380,,Justin,Olson,"Olson, Justin",,R,"41,985",5.16%,,,,,,,,,,,,,,,,,,,,,,,
47,AZ,Arizona,S,S2AZ00448,,David Samuel,Bozic,"Bozic, David Samuel",,W(R),138,0.02%,,,,,,,,,,,,,,,,,,,,,,,
48,AZ,Arizona,S,S2AZ00422,,Frank,Bertone,"Bertone, Frank",,W(R),88,0.01%,,,,,,,,,,,,,,,,,,,,,,,
49,AZ,Arizona,S,n/a,,,,,Party Votes:,R,"813,068",,,,,,,,,,,,,,,,,,,,,,,,
