1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID,(I) INCUMBENT INDICATOR,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (GA),GE RUNOFF ELECTION % (GA),COMBINED GE PARTY TOTALS (when applicable),COMBINED GE PARTY % (when applicable),PE WINNER INDICATOR,GE WINNER INDICATOR,FOOTNOTES,1ST ROUND RCV VOTES,1ST ROUND RCV %,2ND ROUND RCV VOTES,2ND ROUND RCV %,3RD ROUND RCV VOTES,3RD ROUND RCV %,,,,,,
122,CO,Colorado,S,S2CO00324,,T.J ,Cole,"Cole, T.J ",,UPC,,,,,"16,379",0.66%,,,,,,,,,,,,,,,,,,,
123,CO,Colorado,S,S2CO00308,,Frank ,Atwood,"Atwood, Frank ",,APV,,,,,"11,354",0.45%,,,,,,,,,,,,,,,,,,,
124,CO,Colorado,S,S2CO00332,,Tom,Harvey,"Harvey, Tom",,W,,,,,29,0.00%,,,,,,,,,,,,,,,,,,,
125,CO,Colorado,S,S2CO00357,,Joanne ,Rock,"Rock, Joanne ",,W,,,,,25,0.00%,,,,,,,,,,,,,,,,,,,
126,CO,Colorado,S,S2CO00365,,John Carleton,Rutledge,"Rutledge, John Carleton",,W,,,,,9,0.00%,,,,,,,,,,,,,,,,,,,
127,CO,Colorado,S,S2CO00340,,Robert ,Messman,"Messman, Robert ",,W,,,,,8,0.00%,,,,,,,,,,,,,,,,,,,
128,CO,Colorado,S,n/a,,,,,Total State Votes:,,"1,150,830",,,,"2,500,201",,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,CT,Connecticut,S,S0CT00177,(I),Richard,Blumenthal,"Blumenthal, Richard",,Combined Parties:,,,,,,,,,"723,864",57.45%,,W,"* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic Party convention for U.S. Senate was held on May 6, 2022, and the Republican Party convention for U.S. Senate was held on May 7, 2022.  An asterisk denotes the party’s endorsed candidate.",,,,,,,,,,,,
131,CT,Connecticut,S,S0CT00177,(I),,Blumenthal,"Blumenthal, Richard",,D*,*,,,,"701,175",55.65%,,,"723,864",57.45%,*,W,"* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic Party convention for U.S. Senate was held on May 6, 2022, and the Republican Party convention for U.S. Senate was held on May 7, 2022.  An asterisk denotes the party’s endorsed candidate.",,,,,,,,,,,,
132,CT,Connecticut,S,S0CT00177,(I),,Blumenthal,"Blumenthal, Richard",,WF,,,,,"22,689",1.80%,,,"723,864",57.45%,,W,"* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic Party convention for U.S. Senate was held on May 6, 2022, and the Republican Party convention for U.S. Senate was held on May 7, 2022.  An asterisk denotes the party’s endorsed candidate.",,,,,,,,,,,,
133,CT,Connecticut,S,S2CT00314,,Leora R.,Levy,"Levy, Leora R.",,R,"46,943",50.63%,,,"535,943",42.54%,,,,,W,,"* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic Party convention for U.S. Senate was held on May 6, 2022, and the Republican Party convention for U.S. Senate was held on May 7, 2022.  An asterisk denotes the party’s endorsed candidate.",,,,,,,,,,,,
134,CT,Connecticut,S,S2CT00306,,Themis,Klarides,"Klarides, Themis",,R*,"37,072",39.98%,,,,,,,,,,,"* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic Party convention for U.S. Senate was held on May 6, 2022, and the Republican Party convention for U.S. Senate was held on May 7, 2022.  An asterisk denotes the party’s endorsed candidate.",,,,,,,,,,,,
135,CT,Connecticut,S,S2CT00272,,Peter,Lumaj,"Lumaj, Peter",,R,"8,703",9.39%,,,,,,,,,,,"* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic Party convention for U.S. Senate was held on May 6, 2022, and the Republican Party convention for U.S. Senate was held on May 7, 2022.  An asterisk denotes the party’s endorsed candidate.",,,,,,,,,,,,
136,CT,Connecticut,S,S2CT00322,,Nicholas,Connors,"Connors, Nicholas",,R,,,,,,,,,,,,,"* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic Party convention for U.S. Senate was held on May 6, 2022, and the Republican Party convention for U.S. Senate was held on May 7, 2022.  An asterisk denotes the party’s endorsed candidate.",,,,,,,,,,,,
137,CT,Connecticut,S,S2CT00264,,John J.,Flynn,"Flynn, John J.",,R,,,,,,,,,,,,,"* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic Party convention for U.S. Senate was held on May 6, 2022, and the Republican Party convention for U.S. Senate was held on May 7, 2022.  An asterisk denotes the party’s endorsed candidate.",,,,,,,,,,,,
138,CT,Connecticut,S,S2CT00256,,Robert Finley,Hyde,"Hyde, Robert Finley",,R,,,,,,,,,,,,,"* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic Party convention for U.S. Senate was held on May 6, 2022, and the Republican Party convention for U.S. Senate was held on May 7, 2022.  An asterisk denotes the party’s endorsed candidate.",,,,,,,,,,,,
139,CT,Connecticut,S,n/a,,,,,Party Votes:,R,"92,718",,,,,,,,,,,,"* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic Party convention for U.S. Senate was held on May 6, 2022, and the Republican Party convention for U.S. Senate was held on May 7, 2022.  An asterisk denotes the party’s endorsed candidate.",,,,,,,,,,,,
140,CT,Connecticut,S,S2CT00355,,John,Anderson,"Anderson, John",,W,,,,,68,0.01%,,,,,,,,,,,,,,,,,,,
141,CT,Connecticut,S,n/a,,Shabadjot,Bharara,"Bharara, Shabadjot",,W,,,,,12,0.00%,,,,,,,,,,,,,,,,,,,
142,CT,Connecticut,S,n/a,,,,,Total State Votes:,,"92,718",,,,"1,259,887",,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,FL,Florida,S,S0FL00338,(I),Marco ,Rubio,"Rubio, Marco ",,R,Unopposed,,,,"4,474,847",57.68%,,,,,W,W,,,,,,,,,,,,,
145,FL,Florida,S,S2FL00631,,Val,Demings,"Demings, Val",,D,"1,263,706",84.29%,,,"3,201,522",41.27%,,,,,W,,,,,,,,,,,,,,
146,FL,Florida,S,S2FL00748,,Brian,Rush,"Rush, Brian",,D,"94,185",6.28%,,,,,,,,,,,,,,,,,,,,,,,
147,FL,Florida,S,S2FL00623,,William,Sanchez,"Sanchez, William",,D,"84,576",5.64%,,,,,,,,,,,,,,,,,,,,,,,
148,FL,Florida,S,S2FL00755,,Ricardo,De La Fuente,"De La Fuente, Ricardo",,D,"56,749",3.79%,,,,,,,,,,,,,,,,,,,,,,,
149,FL,Florida,S,n/a,,,,,Party Votes:,D,"1,499,216",,,,,,,,,,,,,,,,,,,,,,,,
150,FL,Florida,S,S2FL00615,,Dennis,Misigoy,"Misigoy, Dennis",,LBF,Unopposed,,,,"32,177",0.41%,,,,,W,,,,,,,,,,,,,,
151,FL,Florida,S,S2FL00508,,Steven B. ,Grant,"Grant, Steven B. ",,NPA,,,,,"31,816",0.41%,,,,,,,,,,,,,,,,,,,
152,FL,Florida,S,S2FL00656,,Tuan TQ,Nguyen,"Nguyen, Tuan TQ",,NPA,,,,,"17,385",0.22%,,,,,,,,,,,,,,,,,,,
153,FL,Florida,S,S2FL00771,,Edward A. ,Gray,"Gray, Edward A. ",,W,,,,,190,0.00%,,,,,,,,,,,,,,,,,,,
154,FL,Florida,S,S2FL00714,,Uloma Uma,Ekpete,"Ekpete, Uloma Uma",,W,,,,,42,0.00%,,,,,,,,,,,,,,,,,,,
155,FL,Florida,S,S2FL00730,,Moses ,Quiles,"Quiles, Moses ",,W,,,,,33,0.00%,,,,,,,,,,,,,,,,,,,
156,FL,Florida,S,S0FL00544,,Howard ,Knepper,"Knepper, Howard ",,W,,,,,2,0.00%,,,,,,,,,,,,,,,,,,,
157,FL,Florida,S,n/a,,,,,Total State Votes:,,"1,499,216",,,,"7,758,014",,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,GA,Georgia,S,S0GA00559 ,(I),Raphael,Warnock,"Warnock, Raphael",,D,"702,610",96.04%,,,"1,946,117",49.44%,"1,820,633",51.40%,,,W,W,"Georgia's General Runoff Election Date:  December 6, 2022.",,,,,,,,,,,,
160,GA,Georgia,S,S0GA00484 ,,Tamara ,Johnson-Shealey,"Johnson-Shealey, Tamara ",,D,"28,984",3.96%,,,,,,,,,,,,,,,,,,,,,,,
161,GA,Georgia,S,n/a,,,,,Party Votes:,D,"731,594",,,,,,,,,,,,,,,,,,,,,,,,
162,GA,Georgia,S,S2GA00225 ,,Herschel Junior,Walker,"Walker, Herschel Junior",,R,"803,560",68.18%,,,"1,908,442",48.49%,"1,721,244",48.60%,,,W,,"Georgia's General Runoff Election Date:  December 6, 2022.",,,,,,,,,,,,
163,GA,Georgia,S,S2GA00209 ,,Gary W. ,Black,"Black, Gary W. ",,R,"157,370",13.35%,,,,,,,,,,,,,,,,,,,,,,,
164,GA,Georgia,S,S2GA00175 ,,Latham,Saddler,"Saddler, Latham",,R,"104,471",8.86%,,,,,,,,,,,,,,,,,,,,,,,
165,GA,Georgia,S,S2GA00266 ,,Josh,Clark,"Clark, Josh",,R,"46,693",3.96%,,,,,,,,,,,,,,,,,,,,,,,
166,GA,Georgia,S,S2GA00183 ,,Kelvin,King,"King, Kelvin",,R,"37,930",3.22%,,,,,,,,,,,,,,,,,,,,,,,
167,GA,Georgia,S,S2GA00282 ,,"Jonathan ""Jon""",McColumn,"McColumn, Jonathan ""Jon""",,R,"28,601",2.43%,,,,,,,,,,,,,,,,,,,,,,,
168,GA,Georgia,S,n/a,,,,,Party Votes:,R,"1,178,625",,,,,,,,,,,,,,,,,,,,,,,,
169,GA,Georgia,S,S2GA00274,,Chase,Oliver,"Oliver, Chase",,LIB,,,,,"81,365",2.07%,,,,,,,,,,,,,,,,,,,
170,GA,Georgia,S,n/a,,,,,Total State Votes:,,"1,910,219",,,,"3,935,924",,"3,541,877",,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,HI,Hawaii,S,S4HI00136,(I),Brian,Schatz,"Schatz, Brian",,D,"228,595",93.56%,,,"290,894",71.21%,,,,,W,W,,,,,,,,,,,,,
173,HI,Hawaii,S,S6HI00230,,Steve,Tataii,"Tataii, Steve",,D,"15,725",6.44%,,,,,,,,,,,,,,,,,,,,,,,
174,HI,Hawaii,S,n/a,,,,,Party Votes:,D,"244,320",,,,,,,,,,,,,,,,,,,,,,,,
175,HI,Hawaii,S,S2HI00155,,Bob,McDermott,"McDermott, Bob",,R,"25,686",39.56%,,,"106,358",26.04%,,,,,W,,,,,,,,,,,,,,
176,HI,Hawaii,S,S2HI00197 ,,Timothy A.,Dalhouse,"Dalhouse, Timothy A.",,R,"17,158",26.42%,,,,,,,,,,,,,,,,,,,,,,,
177,HI,Hawaii,S,S2HI00221,,Wallyn Kanoelani,Christian,"Christian, Wallyn Kanoelani",,R,"9,497",14.63%,,,,,,,,,,,,,,,,,,,,,,,
178,HI,Hawaii,S,S2HI00239,,Steven R.,Bond,"Bond, Steven R.",,R,"6,407",9.87%,,,,,,,,,,,,,,,,,,,,,,,
179,HI,Hawaii,S,S2HI00163,,Asia,Lavonne,"Lavonne, Asia",,R,"6,187",9.53%,,,,,,,,,,,,,,,,,,,,,,,
180,HI,Hawaii,S,n/a,,,,,Party Votes:,R,"64,935",,,,,,,,,,,,,,,,,,,,,,,,
181,HI,Hawaii,S,S2HI00171,,Feena M.,Bonoan,"Bonoan, Feena M.",,LIB,515,100.00%,,,"4,915",1.20%,,,,,W,,,,,,,,,,,,,,
182,HI,Hawaii,S,n/a,,,,,Party Votes:,LIB,515,,,,,,,,,,,,,,,,,,,,,,,,
183,HI,Hawaii,S,S2HI00205 ,,Emma Jane A.,Pohlman,"Pohlman, Emma Jane A.",,GRE,"1,245",100.00%,,,"4,142",1.01%,,,,,W,,,,,,,,,,,,,,
184,HI,Hawaii,S,n/a,,,,,Party Votes:,GRE,"1,245",,,,,,,,,,,,,,,,,,,,,,,,
185,HI,Hawaii,S,S2HI00213 ,,Dan,Decker,"Decker, Dan",,AAP,987,100.00%,,,"2,208",0.54%,,,,,W,,,,,,,,,,,,,,
186,HI,Hawaii,S,n/a,,,,,Party Votes:,AAP,987,,,,,,,,,,,,,,,,,,,,,,,,
187,HI,Hawaii,S,n/a,,,,,Total State Votes:,,"312,002",,,,"408,517",,,,,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,ID,Idaho,S,S8ID00027,(I),Mike,Crapo,"Crapo, Mike",,R,"177,906",67.13%,,,"358,539",60.68%,,,,,W,W,,,,,,,,,,,,,
190,ID,Idaho,S,S2ID00129,,Scott,Trotter,"Trotter, Scott",,R,"27,699",10.45%,,,,,,,,,,,,,,,,,,,,,,,
191,ID,Idaho,S,S2ID00160,,Brenda ,Bourn,"Bourn, Brenda ",,R,"21,612",8.16%,,,,,,,,,,,,,,,,,,,,,,,
192,ID,Idaho,S,S2ID00186,,Ramont,Turnbull,"Turnbull, Ramont",,R,"20,883",7.88%,,,,,,,,,,,,,,,,,,,,,,,
193,ID,Idaho,S,S0ID00172,,Natalie M.,Fleming,"Fleming, Natalie M.",,R,"16,902",6.38%,,,,,,,,,,,,,,,,,,,,,,,
194,ID,Idaho,S,n/a,,,,,Party Votes:,R,"265,002",,,,,,,,,,,,,,,,,,,,,,,,
195,ID,Idaho,S,S2ID00178,,David,Roth,"Roth, David",,D,"19,160",57.80%,,,"169,808",28.74%,,,,,W,,,,,,,,,,,,,,
196,ID,Idaho,S,S2ID00194,,Ben,Pursley,"Pursley, Ben",,D,"13,987",42.20%,,,,,,,,,,,,,,,,,,,,,,,
197,ID,Idaho,S,n/a,,,,,Party Votes:,D,"33,147",,,,,,,,,,,,,,,,,,,,,,,,
198,ID,Idaho,S,S2ID00145,,Scott Oh,Cleveland,"Cleveland, Scott Oh",,IND,,,,,"49,917",8.45%,,,,,,,,,,,,,,,,,,,
199,ID,Idaho,S,S6ID00104,,Ray J. ,Writz,"Writz, Ray J. ",,CON,520,100.00%,,,"8,500",1.44%,,,,,W,,,,,,,,,,,,,,
200,ID,Idaho,S,n/a,,,,,Party Votes:,CON,520,,,,,,,,,,,,,,,,,,,,,,,,
201,ID,Idaho,S,S2ID00202,,Idaho Sierra (also known as Carta Reale Sierra),Law,"Law, Idaho Sierra (also known as Carta Reale Sierra)",,LIB,673,100.00%,,,"4,126",0.70%,,,,,W,,,,,,,,,,,,,,
202,ID,Idaho,S,n/a,,,,,Party Votes:,LIB,673,,,,,,,,,,,,,,,,,,,,,,,,
203,ID,Idaho,S,n/a,,,,,Total State Votes:,,"299,342",,,,"590,890",,,,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,IL,Illinois,S,S6IL00292,(I),Tammy ,Duckworth,"Duckworth, Tammy ",,D,"856,720",100.00%,,,"2,329,136",56.82%,,,,,W,W,,,,,,,,,,,,,
206,IL,Illinois,S,n/a,,,,,Party Votes:,D,"856,720",,,,,,,,,,,,,,,,,,,,,,,,
207,IL,Illinois,S,S2IL00267,,Kathy,Salvi,"Salvi, Kathy",,R,"216,007",30.23%,,,"1,701,055",41.50%,,,,,W,,,,,,,,,,,,,,
208,IL,Illinois,S,S0IL00501,,Peggy,Hubbard,"Hubbard, Peggy",,R,"177,180",24.79%,,,,,,,,,,,,,,,,,,,,,,,
209,IL,Illinois,S,S2IL00259,,"Matthew ""Matt""",Dubiel,"Dubiel, Matthew ""Matt""",,R,"90,538",12.67%,,,,,,,,,,,,,,,,,,,,,,,
210,IL,Illinois,S,S2IL00200,,Casey,Chlebek,"Chlebek, Casey",,R,"76,213",10.66%,,,,,,,,,,,,,,,,,,,,,,,
211,IL,Illinois,S,S2IL00184,,"Robert ""Bobby""",Piton,"Piton, Robert ""Bobby""",,R,"65,461",9.16%,,,,,,,,,,,,,,,,,,,,,,,
212,IL,Illinois,S,S2IL00291,,Anthony W. ,Williams,"Williams, Anthony W. ",,R,"52,890",7.40%,,,,,,,,,,,,,,,,,,,,,,,
213,IL,Illinois,S,S2IL00234,,"Jimmy Lee, II",Tillman,"Tillman, Jimmy Lee, II",,R,"36,342",5.09%,,,,,,,,,,,,,,,,,,,,,,,
214,IL,Illinois,S,n/a,,,,,Party Votes:,R,"714,631",,,,,,,,,,,,,,,,,,,,,,,,
215,IL,Illinois,S,S2IL00226,,Bill,Redpath,"Redpath, Bill",,LIB,,,,,"68,671",1.68%,,,,,,,,,,,,,,,,,,,
216,IL,Illinois,S,S0IL00477,,Lowell Martin,Seida,"Seida, Lowell Martin",,W,,,,,23,0.00%,,,,,,,,,,,,,,,,,,,
217,IL,Illinois,S,S0IL00592,,Constant 'Connor',Vlakancic,"Vlakancic, Constant 'Connor'",,W,,,,,11,0.00%,,,,,,,,,,,,,,,,,,,
218,IL,Illinois,S,n/a,,,,,Total State Votes:,,"1,571,351",,,,"4,098,896",,,,,,,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,IN,Indiana,S,S6IN00191,(I),Todd ,Young,"Young, Todd ",,R,"372,738",100.00%,,,"1,090,390",58.62%,,,,,W,W,,,,,,,,,,,,,
221,IN,Indiana,S,n/a,,,,,Party Votes:,R,"372,738",,,,,,,,,,,,,,,,,,,,,,,,
222,IN,Indiana,S,S2IN00208,,"Thomas M., Jr.",McDermott,"McDermott, Thomas M., Jr.",,D,"173,466",100.00%,,,"704,480",37.87%,,,,,W,,,,,,,,,,,,,,
223,IN,Indiana,S,n/a,,,,,Party Votes:,D,"173,466",,,,,,,,,,,,,,,,,,,,,,,,
224,IN,Indiana,S,S2IN00299,,James M.,Sceniak,"Sceniak, James M.",,LIB,*,,,,"63,823",3.43%,,,,,*,,"* The Libertarian Party nominated by convention on March 5, 2022.  Convention nominee is noted with an asterisk.",,,,,,,,,,,,
225,IN,Indiana,S,S2IN00281,,Will,Henry,"Henry, Will",,LIB,,,,,,,,,,,,,,,,,,,,,,,,,
226,IN,Indiana,S,S2IN00182,,Danny ,Niederberger,"Niederberger, Danny ",,W,,,,,"1,294",0.07%,,,,,,,,,,,,,,,,,,,
227,IN,Indiana,S,S2IN00133,,Haneefah ,Khaaliq,"Khaaliq, Haneefah ",,W,,,,,148,0.01%,,,,,,,,,,,,,,,,,,,
228,IN,Indiana,S,S2IN00349,,Phillip ,Beachy,"Beachy, Phillip ",,W,,,,,7,0.00%,,,,,,,,,,,,,,,,,,,
229,IN,Indiana,S,S2IN00356,,David G.,Storer,"Storer, David G.",,W,,,,,7,0.00%,,,,,,,,,,,,,,,,,,,
230,IN,Indiana,S,S2IN00364,,Antonio Xavier,Alvarez,"Alvarez, Antonio Xavier",,W,,,,,3,0.00%,,,,,,,,,,,,,,,,,,,
231,IN,Indiana,S,S2IN00331,,Thomas ,Baer,"Baer, Thomas ",,W,,,,,2,0.00%,,,,,,,,,,,,,,,,,,,
232,IN,Indiana,S,n/a,,,,,Total State Votes:,,"546,204",,,,"1,860,154",,,,,,,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,IA,Iowa,S,S0IA00028,(I),Chuck,Grassley,"Grassley, Chuck",,R,"143,634",73.34%,,,"681,501",56.01%,,,,,W,W,,,,,,,,,,,,,
235,IA,Iowa,S,S2IA00131,,Jim,Carlin,"Carlin, Jim",,R,"51,891",26.50%,,,,,,,,,,,,,,,,,,,,,,,
236,IA,Iowa,S,n/a,,,Scattered,Scattered,,W(R),312,0.16%,,,,,,,,,,,,,,,,,,,,,,,
237,IA,Iowa,S,n/a,,,,,Party Votes:,R,"195,837",,,,,,,,,,,,,,,,,,,,,,,,
238,IA,Iowa,S,S2IA00172,,Michael,Franken,"Franken, Michael",,D,"86,527",55.17%,,,"533,330",43.84%,,,,,W,,,,,,,,,,,,,,
239,IA,Iowa,S,S2IA00164,,Abby,Finkenauer,"Finkenauer, Abby",,D,"62,581",39.90%,,,,,,,,,,,,,,,,,,,,,,,
240,IA,Iowa,S,S2IA00156,,Glenn,Hurst,"Hurst, Glenn",,D,"7,571",4.83%,,,,,,,,,,,,,,,,,,,,,,,
241,IA,Iowa,S,n/a,,,Scattered,Scattered,,W(D),158,0.10%,,,,,,,,,,,,,,,,,,,,,,,
242,IA,Iowa,S,n/a,,,,,Party Votes:,D,"156,837",,,,,,,,,,,,,,,,,,,,,,,,
243,IA,Iowa,S,n/a,,,Scattered,Scattered,,W,,,,,"1,815",0.15%,,,,,,,,,,,,,,,,,,,
244,IA,Iowa,S,n/a,,,,,Total State Votes:,,"352,674",,,,"1,216,646",,,,,,,,,,,,,,,,,,,,
245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,KS,Kansas,S,S0KS00091,(I),Jerry,Moran,"Moran, Jerry",,R,"383,332",80.47%,,,"602,976",60.00%,,,,,W,W,,,,,,,,,,,,,
247,KS,Kansas,S,S2KS00105,,Joan,Farr,"Farr, Joan",,R,"93,016",19.53%,,,,,,,,,,,,,,,,,,,,,,,
248,KS,Kansas,S,n/a,,,,,Party Votes:,R,"476,348",,,,,,,,,,,,,,,,,,,,,,,,
249,KS,Kansas,S,S2KS00113,,Mark R.,Holland,"Holland, Mark R.",,D,"101,429",38.05%,,,"372,214",37.04%,,,,,W,,,,,,,,,,,,,,
250,KS,Kansas,S,S2KS00139,,Paul,Buskirk,"Buskirk, Paul",,D,"53,750",20.16%,,,,,,,,,,,,,,,,,,,,,,,
251,KS,Kansas,S,S0KS00166,,Patrick ,Wiesner,"Wiesner, Patrick ",,D,"47,034",17.65%,,,,,,,,,,,,,,,,,,,,,,,
252,KS,Kansas,S,S2KS00147,,Mike ,Andra,"Andra, Mike ",,D,"33,464",12.55%,,,,,,,,,,,,,,,,,,,,,,,
253,KS,Kansas,S,S2KS00121,,Robert,Klingenberg,"Klingenberg, Robert",,D,"21,413",8.03%,,,,,,,,,,,,,,,,,,,,,,,
254,KS,Kansas,S,S2KS00097,,Michael,Soetaert,"Soetaert, Michael",,D,"9,464",3.55%,,,,,,,,,,,,,,,,,,,,,,,
255,KS,Kansas,S,n/a,,,,,Party Votes:,D,"266,554",,,,,,,,,,,,,,,,,,,,,,,,
256,KS,Kansas,S,S2KS00154,,David C.,Graham,"Graham, David C.",,LIB,*,,,,"29,766",2.96%,,,,,*,,"* The Libertarian Party nominated by convention on April 23, 2022.  Convention nominee is noted with an asterisk.",,,,,,,,,,,,
257,KS,Kansas,S,n/a,,,,,Total State Votes:,,"742,902",,,,"1,004,956",,,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,KY,Kentucky,S,S0KY00156,(I),Rand,Paul,"Paul, Rand",,R,"333,051",86.35%,,,"913,326",61.80%,,,,,W,W,,,,,,,,,,,,,
260,KY,Kentucky,S,S2KY00129 ,,"Valerie ""Dr. Val""",Fredrick,"Fredrick, Valerie ""Dr. Val""",,R,"14,018",3.63%,,,,,,,,,,,,,,,,,,,,,,,
261,KY,Kentucky,S,S2KY00186,,Paul V.,Hamilton,"Hamilton, Paul V.",,R,"13,473",3.49%,,,,,,,,,,,,,,,,,,,,,,,
262,KY,Kentucky,S,S2KY00178,,Arnold,Blankenship,"Blankenship, Arnold",,R,"10,092",2.62%,,,,,,,,,,,,,,,,,,,,,,,
263,KY,Kentucky,S,S2KY00137,,Tami L. ,Stainfield,"Stainfield, Tami L. ",,R,"9,526",2.47%,,,,,,,,,,,,,,,,,,,,,,,
264,KY,Kentucky,S,S2KY00194,,John,Schiess,"Schiess, John",,R,"5,538",1.44%,,,,,,,,,,,,,,,,,,,,,,,
265,KY,Kentucky,S,n/a,,,,,Party Votes:,R,"385,698",,,,,,,,,,,,,,,,,,,,,,,,
266,KY,Kentucky,S,S0KY00420,,Charles,Booker,"Booker, Charles",,D,"214,245",73.29%,,,"564,311",38.19%,,,,,W,,,,,,,,,,,,,,
267,KY,Kentucky,S,S2KY00152,,"Joshua Wesley, Sr.",Blanton,"Blanton, Joshua Wesley, Sr.",,D,"30,980",10.60%,,,,,,,,,,,,,,,,,,,,,,,
268,KY,Kentucky,S,S2KY00160,,John,Merrill,"Merrill, John",,D,"28,931",9.90%,,,,,,,,,,,,,,,,,,,,,,,
269,KY,Kentucky,S,S2KY00111,,Ruth,Gao,"Gao, Ruth",,D,"18,154",6.21%,,,,,,,,,,,,,,,,,,,,,,,
270,KY,Kentucky,S,n/a,,,,,Party Votes:,D,"292,310",,,,,,,,,,,,,,,,,,,,,,,,
271,KY,Kentucky,S,S2KY00202,,Charles Lee,Thomason,"Thomason, Charles Lee",,W,,,,,145,0.01%,,,,,,,,,,,,,,,,,,,
272,KY,Kentucky,S,S0KY00255,,Billy Ray,Wilson,"Wilson, Billy Ray",,W,,,,,48,0.00%,,,,,,,,,,,,,,,,,,,
273,KY,Kentucky,S,n/a,,,,,Total State Votes:,,"678,008",,,,"1,477,830",,,,,,,,,,,,,,,,,,,,
274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,LA,Louisiana,S,S4LA00065,(I),John,Kennedy,"Kennedy, John",,R,,,,,"851,568",61.56%,,,,,,W,"*  In Louisiana, a Congressional primary election is not held. In 2022, the election for candidates seeking Federal office was the General Election held on November 8, 2022, with a Runoff Election held on December 10, 2022, if necessary.",,,,,,,,,,,,
